Date,DIG_Price,HCM_Price,HPG_Price,MBB_Price,MWG_Price,PVD_Price,SBT_Price,VCG_Price,VNM_Price,VOS_Price
9/1/2024,23200,30950,26350,25700,68100,27700,12900,18750,70100,15650
8/1/2024,23200,29300,25900,24850,69800,27450,12550,18800,73900,16350
7/31/2024,"24450	","25350	","27200	",24400,63800,"27700	","12900	",18100,71600,17100
7/1/2024,24450,25350,27200,24400,63800,27700,12900,18100,71600,17100
6/1/2024,26550,26200,28300,22200,62400,28800,11800,18250,65500,18750
5/1/2024,27750,28850,28600,21750,63099,31650,11750,20536,65400,15800
4/1/2024,27800,27050,25818.2,21770.5,54467,29750,10900,19777,65000,10600
3/1/2024,32200,29500,27500,24852.6,50697,32350,12400,22768,67600,11900
2/1/2024,27300,27950,28181.8,23629.5,45836,30900,13300,21786,71081,11900
1/1/2024,27100,26500,25227.3,21281.2,44645,27550,13400,22812,66145,11400
12/1/2023,26750,23757.6,25409.1,18248.1,42463,28300,13200,22054,66737,11400
11/1/2023,24700,20319,24136.4,17416.4,38196,28000,13200,20268,66050,10750
10/1/2023,20200,16949.8,20909.1,16731.5,37403,23550,13000,16964,66638,8400
9/1/2023,25100,21222,23909.1,18101.3,52185,25800,14650,21562,72714,13250
8/1/2023,28650,22715.6,25090.9,18101.3,53376,25500,16200,25804,76242,11950
7/1/2023,26000,21395.7,25636.4,18443.7,53277,26200,15900,22991,73996,12550
6/1/2023,21050,19554.8,23772.7,17186.7,42550,24500,15150,18616,67355,12650
5/1/2023,21350,18483.8,19272.7,15435.5,38521,24200,15045.5,16964,62707,11500
4/1/2023,18700,17017.4,19681.8,15311.1,38521,20950,15454.5,15544,66407,10700
3/1/2023,13500,17392.5,18909.1,15145.1,37882,20300,13090.9,16518,70581,9290
2/1/2023,13500,15482.7,18181.8,14315.2,39307,21200,13272.7,15584,71624,9020
1/1/2023,17500,17187.9,20090.9,16223.9,45695,21000,13409.1,17735,73142,11750
12/1/2022,14300,13351.9,16363.6,14190.7,42157,17850,13181.8,14002,72193,11700
11/1/2022,15800,14653.7,16727.3,14439.7,43336,15800,11818.2,12662,77170,9410
10/1/2022,17700,13685.7,14227.3,14688.7,50706,17200,11384.9,12946,73162,10400
9/1/2022,29700,16356,19272.7,16597.3,62892,19800,13763.8,17330,67384,13850
8/1/2022,38000,17424.2,20909.1,19709.3,72719,20700,15505.5,17573,70366,16800
7/1/2022,38300,17424.2,19545.5,17738.4,59944,15318.2,15293.1,18263,67850,17050
6/1/2022,29016.4,13485.4,20272.7,16735.7,70262,15090.9,15845.4,14205,65053,17300
5/1/2022,49508.2,15855.3,23874.4,19190.7,70735,20818.2,14868.3,20108,64603,15550
4/1/2022,53278.7,17724.6,29791.4,20608.4,72834,18454.5,16142.7,20677,66855,16800
3/1/2022,75819.7,22764.9,31029.8,22786.8,71175,25909.1,20390.8,30345,72892,22850
2/1/2022,70491.8,25134.9,32474.6,23789.5,66391,26439.4,19201.4,30486,70639,18100
1/1/2022,60327.9,24801.1,29034.5,23305.4,64682,23106.1,18691.6,29498,74874,14600
12/1/2021,79262.3,30375.5,31924.2,19986,66342,22462.1,22005.1,36485,76568,19000
11/1/2021,56147.5,32344.5,33678.7,20055.1,67806,20606.1,20815.6,35638,77632,19350
